,State,AIAN_June15,AIAN_July20,Reopening,Mask,Percent_change,over_100
0,Arizona,7536.0,7889.0,5/8/20,0,4.684182590233545,False
1,California,1723.0,3809.0,5/25/20,6/18/20,121.06790481717933,True
2,Colorado,44.0,72.0,4/27/20,7/17/20,63.63636363636363,False
5,Georgia,7.0,23.0,4/24/20,0,228.57142857142856,True
7,Illinois,110.0,135.0,5/29/20,5/1/20,22.727272727272727,False
10,Kansas,9.0,27.0,5/4/20,7/3/20,200.0,True
14,Michigan,155.0,177.0,6/1/20,6/18/20,14.193548387096774,False
15,Mississippi,932.0,1010.0,4/27/20,0,8.369098712446352,False
16,Missouri,4.0,93.0,5/4/20,0,2225.0,True
17,Nebraska,16.0,25.0,5/4/20,0,56.25,False
18,Nevada,13.0,97.0,5/9/20,6/24/20,646.1538461538462,True
19,NewJersey,3.0,6.0,6/9/20,4/8/20,100.0,True
21,NorthCarolina,4.0,712.0,5/8/20,6/26/20,17700.0,True
22,Ohio,46.0,93.0,5/12/20,0,102.17391304347827,True
23,Oklahoma,50.0,161.0,4/24/20,0,222.00000000000003,True
24,Oregon,61.0,104.0,5/15/20,7/1/20,70.49180327868852,False
27,Texas,8.0,100.0,5/1/20,7/3/20,1150.0,True
31,Wisconsin,22.0,44.0,5/13/20,0,100.0,True
