County,White,Black,Asian,AIAN,NHPI,Hispanic
"Barbour County, West Virginia",17,-,-,-,-,-
"Berkeley County, West Virginia",434,57,-,-,-,-
"Boone County, West Virginia",57,-,-,-,-,-
"Braxton County, West Virginia",5,-,-,-,-,-
"Brooke County, West Virginia",30,1,-,-,-,-
"Cabell County, West Virginia",185,23,-,-,-,-
"Calhoun County, West Virginia",5,-,-,-,-,-
"Clay County, West Virginia",17,-,-,-,-,-
"Doddridge County, West Virginia",-,-,-,-,-,-
"Fayette County, West Virginia",80,3,-,-,-,-
"Gilmer County, West Virginia",7,6,-,-,-,-
"Grant County, West Virginia",23,-,-,-,-,-
"Greenbrier County, West Virginia",71,1,-,-,-,-
"Hampshire County, West Virginia",47,1,-,-,-,-
"Hancock County, West Virginia",60,3,-,-,-,-
"Hardy County, West Virginia",31,13,-,-,-,-
"Harrison County, West Virginia",119,3,-,-,-,-
"Jackson County, West Virginia",145,-,-,-,-,-
"Jefferson County, West Virginia",206,19,-,-,-,-
"Kanawha County, West Virginia",388,44,-,-,-,-
"Lewis County, West Virginia",21,-,-,-,-,-
"Lincoln County, West Virginia",21,-,-,-,-,-
"Logan County, West Virginia",39,2,-,-,-,-
"Marion County, West Virginia",95,33,-,-,-,-
"Marshall County, West Virginia",74,1,-,-,-,-
"Mason County, West Virginia",25,-,-,-,-,-
"McDowell County, West Virginia",4,5,-,-,-,-
"Mercer County, West Virginia",33,14,-,-,-,-
"Mineral County, West Virginia",63,7,-,-,-,-
"Mingo County, West Virginia",50,2,-,-,-,-
"Monongalia County, West Virginia",544,83,-,-,-,-
"Monroe County, West Virginia",17,-,-,-,-,-
"Morgan County, West Virginia",21,-,-,-,-,-
"Nicholas County, West Virginia",21,-,-,-,-,-
"Ohio County, West Virginia",154,10,-,-,-,-
"Pendleton County, West Virginia",19,1,-,-,-,-
"Pleasants County, West Virginia",4,-,-,-,-,-
"Pocahontas County, West Virginia",38,-,-,-,-,-
"Preston County, West Virginia",99,3,-,-,-,-
"Putnam County, West Virginia",97,2,-,-,-,-
"Raleigh County, West Virginia",81,14,-,-,-,-
"Randolph County, West Virginia",116,10,-,-,-,-
"Ritchie County, West Virginia",3,-,-,-,-,-
"Roane County, West Virginia",11,-,-,-,-,-
"Summers County, West Virginia",2,-,-,-,-,-
"Taylor County, West Virginia",16,-,-,-,-,-
"Tucker County, West Virginia",7,-,-,-,-,-
"Tyler County, West Virginia",10,-,-,-,-,-
"Upshur County, West Virginia",33,-,-,-,-,-
"Wayne County, West Virginia",151,-,-,-,-,-
"Webster County, West Virginia",2,-,-,-,-,-
"Wetzel County, West Virginia",37,-,-,-,-,-
