County,White,Black,Asian,AIAN,NHPI,Hispanic
"Barbour County, West Virginia",8,-,-,-,-,-
"Berkeley County, West Virginia",291,40,-,-,-,-
"Boone County, West Virginia",18,-,-,-,-,-
"Braxton County, West Virginia",1,-,-,-,-,-
"Brooke County, West Virginia",5,-,-,-,-,-
"Cabell County, West Virginia",63,9,-,-,-,-
"Calhoun County, West Virginia",2,-,-,-,-,-
"Clay County, West Virginia",10,-,-,-,-,-
"Doddridge County, West Virginia",-,-,-,-,-,-
"Fayette County, West Virginia",40,1,-,-,-,-
"Gilmer County, West Virginia",4,6,-,-,-,-
"Grant County, West Virginia",16,-,-,-,-,-
"Greenbrier County, West Virginia",23,-,-,-,-,-
"Hampshire County, West Virginia",36,1,-,-,-,-
"Hancock County, West Virginia",20,-,-,-,-,-
"Hardy County, West Virginia",24,8,-,-,-,-
"Harrison County, West Virginia",42,1,-,-,-,-
"Jackson County, West Virginia",137,0,-,-,-,-
"Jefferson County, West Virginia",153,16,-,-,-,-
"Kanawha County, West Virginia",202,20,-,-,-,-
"Lewis County, West Virginia",4,0,-,-,-,-
"Lincoln County, West Virginia",5,0,-,-,-,-
"Logan County, West Virginia",18,2,-,-,-,-
"Marion County, West Virginia",27,24,-,-,-,-
"Marshall County, West Virginia",36,0,-,-,-,-
"Mason County, West Virginia",14,0,-,-,-,-
"McDowell County, West Virginia",3,3,-,-,-,-
"Mercer County, West Virginia",11,2,-,-,-,-
"Mineral County, West Virginia",48,1,-,-,-,-
"Mingo County, West Virginia",11,0,-,-,-,-
"Monongalia County, West Virginia",121,12,-,-,-,-
"Monroe County, West Virginia",9,-,-,-,-,-
"Morgan County, West Virginia",19,-,-,-,-,-
"Nicholas County, West Virginia",7,-,-,-,-,-
"Ohio County, West Virginia",53,2,-,-,-,-
"Pendleton County, West Virginia",11,1,-,-,-,-
"Pleasants County, West Virginia",3,-,-,-,-,-
"Pocahontas County, West Virginia",21,-,-,-,-,-
"Preston County, West Virginia",20,-,-,-,-,-
"Putnam County, West Virginia",35,2,-,-,-,-
"Raleigh County, West Virginia",21,2,-,-,-,-
"Randolph County, West Virginia",46,3,-,-,-,-
"Ritchie County, West Virginia",1,1,-,-,-,-
"Roane County, West Virginia",10,-,-,-,-,-
"Summers County, West Virginia",1,-,-,-,-,-
"Taylor County, West Virginia",6,-,-,-,-,-
"Tucker County, West Virginia",5,-,-,-,-,-
"Tyler County, West Virginia",3,-,-,-,-,-
"Upshur County, West Virginia",7,-,-,-,-,-
"Wayne County, West Virginia",103,-,-,-,-,-
"Webster County, West Virginia",-,-,-,-,-,-
"Wetzel County, West Virginia",9,-,-,-,-,-
"Wirt County, West Virginia",4,-,-,-,-,-
"Wood County, West Virginia",49,-,-,-,-,-
"Wyoming County, West Virginia",5,-,-,-,-,-
"Alachua County, Florida",168,147,-,-,-,80
"Baker County, Florida",21,7,-,-,-,0
"Bay County, Florida",119,13,-,-,-,44
"Bradford County, Florida",46,5,-,-,-,0
"Brevard County, Florida",405,63,-,-,-,131
"Broward County, Florida","4,500","3,200",-,-,-,"3,119"
"Calhoun County, Florida",47,11,-,-,-,0
"Charlotte County, Florida",439,53,-,-,-,30
"Citrus County, Florida",108,8,-,-,-,16
"Clay County, Florida",248,87,-,-,-,36
"Collier County, Florida","1,500",133,-,-,-,"1,346"
"Columbia County, Florida",85,82,-,-,-,15
"DeSoto County, Florida",307,27,-,-,-,254
"Dixie County, Florida",44,14,-,-,-,1
"Duval County, Florida",837,659,-,-,-,363
"Escambia County, Florida",357,292,-,-,-,33
"Flagler County, Florida",120,33,-,-,-,25
"Franklin County, Florida",1,0,-,-,-,0
"Gadsden County, Florida",121,128,-,-,-,32
"Gilchrist County, Florida",10,1,-,-,-,2
"Glades County, Florida",92,17,-,-,-,75
"Gulf County, Florida",6,0,-,-,-,2
"Hamilton County, Florida",120,121,-,-,-,37
"Hardee County, Florida",126,50,-,-,-,119
"Hendry County, Florida",523,63,-,-,-,485
"Hernando County, Florida",112,17,-,-,-,30
"Highlands County, Florida",101,39,-,-,-,62
"Hillsborough County, Florida",1400,804,-,-,-,993
"Holmes County, Florida",23,3,-,-,-,0
"Indian River County, Florida",135,18,-,-,-,44
"Jackson County, Florida",127,128,-,-,-,29
"Jefferson County, Florida",10,14,-,-,-,4
"Lafayette County, Florida",12,1,-,-,-,3
"Lake County, Florida",251,66,-,-,-,107
