,State,NHPI_June15,NHPI_July20,Reopening,Mask,Percent_change,over_100,over_200
0,Arizona,255.0,1167.0,5/8/20,0,357.64705882352945,True,True
1,California,601.0,9625.0,5/25/20,6/18/20,1501.4975041597338,True,True
2,Colorado,25.0,52.0,4/27/20,7/17/20,108.0,True,False
5,Georgia,11.0,1075.0,4/24/20,0,9672.727272727274,True,True
7,Illinois,229.0,263.0,5/29/20,5/1/20,14.847161572052403,False,False
9,Iowa,72.0,93.0,5/1/20,0,29.166666666666668,False,False
10,Kansas,2.0,5.0,5/4/20,7/3/20,150.0,True,False
16,Missouri,30.0,676.0,5/4/20,0,2153.3333333333335,True,True
19,NewJersey,11.0,13.0,6/9/20,4/8/20,18.181818181818183,False,False
21,NorthCarolina,28.0,180.0,5/8/20,6/26/20,542.8571428571429,True,True
22,Ohio,98.0,144.0,5/12/20,0,46.93877551020408,False,False
23,Oklahoma,5.0,13.0,4/24/20,0,160.0,True,False
24,Oregon,106.0,168.0,5/15/20,7/1/20,58.490566037735846,False,False
26,Tennessee,15.0,16.0,4/27/20,0,6.666666666666667,False,False
27,Texas,7.0,1662.0,5/1/20,7/3/20,23642.85714285714,True,True
29,Washington,1898.0,1912.0,5/26/20,6/26/20,0.7376185458377239,False,False
31,Wisconsin,13.0,17.0,5/13/20,0,30.76923076923077,False,False
