,State,Asian_June15,Asian_July20,Reopening,Mask,Percent_change,over_100
0,Arizona,584.0,1134.0,5/8/20,0,94.17808219178082,False
1,California,9660.0,16366.0,5/25/20,6/18/20,69.42028985507245,False
7,Illinois,2701.0,3203.0,5/29/20,5/1/20,18.5857089966679,False
8,Indiana,654.0,767.0,5/4/20,0,17.2782874617737,False
9,Iowa,410.0,428.0,5/1/20,0,4.390243902439024,False
10,Kansas,472.0,538.0,5/4/20,7/3/20,13.983050847457626,False
13,Maryland,385.0,474.0,5/15/20,4/18/20,23.116883116883116,False
15,Mississippi,64.0,139.0,4/27/20,0,117.1875,True
16,Missouri,253.0,460.0,5/4/20,0,81.81818181818183,False
17,Nebraska,1228.0,1449.0,5/4/20,0,17.996742671009773,False
18,Nevada,759.0,1788.0,5/9/20,6/24/20,135.57312252964425,True
19,NewJersey,177.0,221.0,6/9/20,4/8/20,24.858757062146893,False
20,NewYork,228.0,28674.0,5/29/20,4/17/20,12476.315789473683,True
21,NorthCarolina,105.5,1144.0,5/8/20,6/26/20,984.3601895734597,True
22,Ohio,1318.0,2108.0,5/12/20,0,59.93930197268589,False
23,Oklahoma,80.0,1029.0,4/24/20,0,1186.25,True
24,Oregon,192.0,490.0,5/15/20,7/1/20,155.20833333333331,True
26,Tennessee,312.0,498.0,4/27/20,0,59.61538461538461,False
27,Texas,621.0,3002.0,5/1/20,7/3/20,383.41384863123994,True
28,Utah,515.0,524.0,5/1/20,0,1.7475728155339807,False
31,Wisconsin,422.0,616.0,5/13/20,0,45.97156398104265,False
