,State,Black_June15,Black_July20,Reopening,Mask,Percent_change,over_50,over_100,over_200
0,Arizona,2035.0,3320.0,5/8/20,0,63.14496314496314,True,False,False
1,California,6376.0,13500.0,5/25/20,6/18/20,111.73149309912172,True,True,False
4,Florida,14936.0,52516.0,5/4/20,0,251.60685591858595,True,True,True
5,Georgia,2644.0,6913.0,4/24/20,0,161.45990922844175,True,True,False
7,Illinois,10688.0,13731.0,5/29/20,5/1/20,28.47118263473054,False,False,False
8,Indiana,5219.0,6621.0,5/4/20,0,26.863383789998085,False,False,False
9,Iowa,832.0,1147.0,5/1/20,0,37.86057692307692,False,False,False
10,Kansas,559.0,1036.0,5/4/20,7/3/20,85.3309481216458,True,False,False
13,Maryland,4557.0,12376.0,5/15/20,4/18/20,171.58218125960062,True,True,False
14,Michigan,17213.0,17818.0,6/1/20,6/18/20,3.5147853366641493,False,False,False
15,Mississippi,10252.0,19882.0,4/27/20,0,93.93289114319158,True,False,False
17,Nebraska,560.0,989.0,5/4/20,0,76.60714285714286,True,False,False
18,Nevada,834.0,2136.0,5/9/20,6/24/20,156.11510791366908,True,True,False
19,NewJersey,365.0,420.0,6/9/20,4/8/20,15.068493150684931,False,False,False
20,NewYork,526.0,75521.0,5/29/20,4/17/20,14257.604562737642,True,True,True
21,NorthCarolina,1599.2,11919.0,5/8/20,6/26/20,645.3101550775388,True,True,True
22,Ohio,9691.0,19928.0,5/12/20,0,105.63409348880404,True,True,False
23,Oklahoma,116.0,406.0,4/24/20,0,250.0,True,True,True
24,Oregon,196.0,547.0,5/15/20,7/1/20,179.08163265306123,True,True,False
26,Tennessee,1096.0,4286.0,4/27/20,0,291.05839416058393,True,True,True
27,Texas,3523.0,13659.0,5/1/20,7/3/20,287.70933863184786,True,True,True
30,WestVirginia,157.0,370.0,5/4/20,7/6/20,135.66878980891718,True,True,False
31,Wisconsin,2739.0,4326.0,5/13/20,0,57.9408543263965,True,False,False
