,State,Hispanic_June15,Hispanic_July20,Reopening,Mask,Percent_change,over_100
0,Arizona,17663.0,33964.0,5/8/20,0,92.28896563437695,False
1,California,56054.0,124759.0,5/25/20,6/18/20,122.56930816712457,True
4,Florida,28032.0,88237.0,5/4/20,0,214.77240296803654,True
5,Georgia,1257.0,14475.0,4/24/20,0,1051.5513126491646,True
7,Illinois,24491.0,28987.0,5/29/20,5/1/20,18.357764076599565,False
8,Indiana,4734.0,6405.0,5/4/20,0,35.297845373891,False
9,Iowa,570.0,612.0,5/1/20,0,7.368421052631578,False
10,Kansas,1409.0,3415.0,5/4/20,7/3/20,142.37047551454933,True
13,Maryland,2365.0,15155.0,5/15/20,4/18/20,540.8033826638479,True
15,Mississippi,1257.0,1777.0,4/27/20,0,41.36833731105807,False
16,Missouri,663.0,4665.0,5/4/20,0,603.6199095022624,True
17,Nebraska,3621.0,4609.0,5/4/20,0,27.28528030930682,False
18,Nevada,3122.0,9535.0,5/9/20,6/24/20,205.41319666880207,True
19,NewJersey,829.0,1015.0,6/9/20,4/8/20,22.43667068757539,False
20,NewYork,228.0,70854.0,5/29/20,4/17/20,30976.315789473683,True
21,NorthCarolina,1958.9,27951.0,5/8/20,6/26/20,1326.8722242074632,True
22,Ohio,3034.0,5157.0,5/12/20,0,69.97363216875412,False
23,Oklahoma,354.0,1519.0,4/24/20,0,329.09604519774007,True
24,Oregon,1387.0,3680.0,5/15/20,7/1/20,165.3208363374189,True
26,Tennessee,204.0,6004.0,4/27/20,0,2843.1372549019607,True
27,Texas,9192.0,33297.0,5/1/20,7/3/20,262.2389033942559,True
28,Utah,2068.0,7697.0,5/1/20,0,272.1953578336557,True
29,Washington,4569.0,8469.0,5/26/20,6/26/20,85.35784635587656,False
31,Wisconsin,3744.0,4853.0,5/13/20,0,29.620726495726498,False
