,State,White_June15,Black_June15,Asian_June15,AIAN_June15,NHPI_June15,Hispanic_June15
0,Arizona,13167.0,2035.0,584.0,7536.0,255.0,17663.0
1,California,19746.0,6376.0,9660.0,1723.0,601.0,56054.0
2,Colorado,4036.0,1476.0,684.0,44.0,25.0,8481.0
3,Delaware,0.0,0.0,0.0,0.0,0.0,0.0
4,Florida,39365.0,14936.0,0.0,0.0,0.0,28032.0
5,Georgia,2189.0,2644.0,254.0,7.0,11.0,1257.0
6,Idaho,0.0,0.0,0.0,0.0,0.0,0.0
7,Illinois,20849.0,10688.0,2701.0,110.0,229.0,24491.0
8,Indiana,18108.0,5219.0,654.0,0.0,0.0,4734.0
9,Iowa,1663.0,832.0,410.0,7.0,72.0,570.0
10,Kansas,2296.0,559.0,472.0,9.0,2.0,1409.0
11,Kentucky,883.0,102.0,30.0,0.0,0.0,391.0
12,Maine,0.0,0.0,0.0,0.0,0.0,0.0
13,Maryland,3291.0,4557.0,385.0,0.0,0.0,2365.0
14,Michigan,21370.0,17213.0,1320.0,155.0,0.0,113.0
15,Mississippi,5482.0,10252.0,64.0,932.0,0.0,1257.0
16,Missouri,3913.0,4608.0,253.0,4.0,30.0,663.0
17,Nebraska,1540.0,560.0,1228.0,16.0,0.0,3621.0
18,Nevada,1882.0,834.0,759.0,13.0,0.0,3122.0
19,NewJersey,5183.0,365.0,177.0,3.0,11.0,829.0
20,NewYork,1204.0,526.0,228.0,0.0,0.0,228.0
21,NorthCarolina,3033.04,1599.2,105.5,4.0,28.0,1958.9
22,Ohio,19516.0,9691.0,1318.0,46.0,98.0,3034.0
23,Oklahoma,562.0,116.0,80.0,50.0,5.0,354.0
24,Oregon,1144.0,196.0,192.0,61.0,106.0,1387.0
25,Pennsylvania,5048.0,11598.0,1003.0,0.0,0.0,2372.0
26,Tennessee,2650.0,1096.0,312.0,0.0,15.0,204.0
27,Texas,6905.0,3523.0,621.0,8.0,7.0,9192.0
28,Utah,555.0,1468.0,515.0,552.0,2149.0,2068.0
29,Washington,5359.0,2387.0,1886.0,1877.0,1898.0,4569.0
30,WestVirginia,1841.0,157.0,0.0,0.0,0.0,0.0
31,Wisconsin,2289.0,2739.0,422.0,22.0,13.0,3744.0
32,nan,670.0,159.0,13.0,0.0,0.0,1256.0
