,State,White_June15,White_July20,Reopening,Mask,Percent_change,over_100
0,Arizona,13167.0,24972.0,5/8/20,0,89.65595807701071,False
1,California,19746.0,44202.0,5/25/20,6/18/20,123.85293223944089,True
2,Colorado,4036.0,4640.0,4/27/20,7/17/20,14.965312190287413,False
4,Florida,39365.0,133866.0,5/4/20,0,240.06350819255684,True
5,Georgia,2189.0,8158.0,4/24/20,0,272.68158976701693,True
7,Illinois,20849.0,29773.0,5/29/20,5/1/20,42.80301213487457,False
8,Indiana,18108.0,26391.0,5/4/20,0,45.742213386348574,False
9,Iowa,1663.0,3142.0,5/1/20,0,88.93565844858689,False
10,Kansas,2296.0,7137.0,5/4/20,7/3/20,210.84494773519165,True
13,Maryland,3291.0,5412.0,5/15/20,4/18/20,64.44849589790337,False
14,Michigan,21370.0,22286.734,6/1/20,6/18/20,4.289817501169866,False
15,Mississippi,5482.0,12744.0,4/27/20,0,132.46990149580444,True
17,Nebraska,1540.0,3622.0,5/4/20,0,135.1948051948052,True
18,Nevada,1882.0,6779.0,5/9/20,6/24/20,260.201912858661,True
19,NewJersey,5183.0,6090.0,6/9/20,4/8/20,17.499517653868416,False
20,NewYork,1204.0,48881.0,5/29/20,4/17/20,3959.8837209302324,True
21,NorthCarolina,3033.04,28215.0,5/8/20,6/26/20,830.2547938701764,True
22,Ohio,19516.0,36103.0,5/12/20,0,84.99180159868826,False
23,Oklahoma,562.0,1962.0,4/24/20,0,249.1103202846975,True
24,Oregon,1144.0,4595.0,5/15/20,7/1/20,301.66083916083915,True
26,Tennessee,2650.0,8784.0,4/27/20,0,231.47169811320754,True
27,Texas,6905.0,20973.0,5/1/20,7/3/20,203.7364228819696,True
28,Utah,555.0,10543.0,5/1/20,0,1799.6396396396397,True
29,Washington,5359.0,8124.0,5/26/20,6/26/20,51.59544691173726,False
30,WestVirginia,1841.0,4022.0,5/4/20,7/6/20,118.4682237914177,True
31,Wisconsin,2289.0,3555.0,5/13/20,0,55.307994757536036,False
